values,name,day,,
4707.16356,jacobi,213,,
4795.322047,jacobi,214,,
4871.930612,jacobi,215,,
4921.137005,jacobi,216,,
5037.564253,jacobi,217,,
5103.68642,jacobi,218,,
5171.941186,jacobi,219,,
5255.346294,jacobi,220,,
5347.152364,jacobi,221,,
5428.252566,jacobi,222,,
5479.143152,jacobi,223,,
5590.135272,jacobi,224,,
5644.083098,jacobi,225,,
5705.851871,jacobi,226,,
5766.133067,jacobi,227,,
5778.110749,jacobi,228,,
5832.683922,jacobi,229,,
5859.25834,jacobi,230,,
5888.808798,jacobi,231,,
5860.721857,jacobi,232,,
5865.193656,jacobi,233,,
5842.898587,jacobi,234,,
5863.659949,jacobi,235,,
5819.224587,jacobi,236,,
5753.739962,jacobi,237,,
5763.977972,jacobi,238,,
5698.258773,jacobi,239,,
5623.226181,jacobi,240,,
5614.366148,jacobi,241,,
5612.01493,jacobi,242,,
5598.99087,jacobi,243,,
5591.24358,jacobi,244,,
5594.334435,jacobi,245,,
5530.251294,jacobi,246,,
5551.714182,jacobi,247,,
5557.648047,jacobi,248,,
5578.359141,jacobi,249,,
5675.563328,jacobi,250,,
5594.773356,jacobi,251,,
5636.315563,jacobi,252,,
5747.353522,jacobi,253,,
5742.692103,jacobi,254,,
5872.144559,jacobi,255,,
5968.56038,jacobi,256,,
6025.482251,jacobi,257,,
6156.452863,jacobi,258,,
6226.440772,jacobi,259,,
6421.579306,jacobi,260,,
6457.115401,jacobi,261,,
6529.736706,jacobi,262,,
6658.308913,jacobi,263,,
6783.116461,jacobi,264,,
7069.965526,jacobi,265,,
7057.883839,jacobi,266,,
7053.81466,jacobi,267,,
7333.77784,jacobi,268,,
7345.855975,jacobi,269,,
7504.410974,jacobi,270,,
7508.122205,jacobi,271,,
7613.525742,jacobi,272,,
7660.990851,jacobi,273,,
7676.975949,jacobi,274,,
7844.553176,jacobi,275,,
8124.949156,jacobi,276,,
7903.995721,jacobi,277,,
8002.673608,jacobi,278,,
8027.681211,jacobi,279,,
7890.481043,jacobi,280,,
7946.607803,jacobi,281,,
8064.733396,jacobi,282,,
7947.450086,jacobi,283,,
8056.252813,jacobi,284,,
8237.81978,jacobi,285,,
7925.678117,jacobi,286,,
8122.882781,jacobi,287,,
8089.665745,jacobi,288,,
8060.781568,jacobi,289,,
8333.025494,jacobi,290,,
8064.220521,jacobi,291,,
8202.513152,jacobi,292,,
8314.911037,jacobi,293,,
8490.957591,jacobi,294,,
8634.310584,jacobi,295,,
8995.121005,jacobi,296,,
9023.771224,jacobi,297,,
8897.054744,jacobi,298,,
9062.287656,jacobi,299,,
9153.620403,jacobi,300,,
9130.243852,jacobi,301,,
9449.28245,jacobi,302,,
9990.130119,jacobi,303,,
9887.184446,jacobi,304,,
10078.23346,jacobi,305,,
10316.12258,jacobi,306,,
10215.74247,jacobi,307,,
10039.4115,jacobi,308,,
10703.89177,jacobi,309,,
10787.83987,jacobi,310,,
10789.6292,jacobi,311,,
11423.21424,jacobi,312,,
11018.97082,jacobi,313,,
11625.20303,jacobi,314,,
11285.36156,jacobi,315,,
11498.07578,jacobi,316,,
11583.50911,jacobi,317,,
12264.49725,jacobi,318,,
11530.20423,jacobi,319,,
11658.80812,jacobi,320,,
12208.31947,jacobi,321,,
12180.22992,jacobi,322,,
11724.05536,jacobi,323,,
12348.28473,jacobi,324,,
11700.14054,jacobi,325,,
12108.53383,jacobi,326,,
11674.70702,jacobi,327,,
11904.30215,jacobi,328,,
11351.23894,jacobi,329,,
11350.52401,jacobi,330,,
11448.27643,jacobi,331,,
10617.04972,jacobi,332,,
11266.35496,jacobi,333,,
10545.33287,jacobi,334,,
11053.90368,jacobi,335,,
10136.31653,jacobi,336,,
10682.17126,jacobi,337,,
10359.34332,jacobi,338,,
9672.478571,jacobi,339,,
10188.26169,jacobi,340,,
9338.665219,jacobi,341,,
9150.857384,jacobi,342,,
9022.927114,jacobi,343,,
8892.183176,jacobi,344,,
8326.071012,jacobi,345,,
8417.930778,jacobi,346,,
8405.946005,jacobi,347,,
7739.557318,jacobi,348,,
7730.297901,jacobi,349,,
7030.093948,jacobi,350,,
7173.076294,jacobi,351,,
7334.754936,jacobi,352,,
6976.398514,jacobi,353,,
6288.214368,jacobi,354,,
6226.563414,jacobi,355,,
6876.44565,jacobi,356,,
6190.401637,jacobi,357,,
5000.341316,jacobi,358,,
6328.460694,jacobi,359,,
5371.33465,jacobi,360,,
6002.557411,jacobi,361,,
5382.051854,jacobi,362,,
6208.116148,jacobi,363,,
6112.332277,jacobi,364,,
6193.230972,jacobi,365,,
5473.941993,jacobi,366,,
5496.572188,jacobi,367,,
4490.073732,jacobi,368,,
4977.851046,jacobi,369,,
5922.003285,jacobi,370,,
5910.944709,jacobi,371,,
5203.472559,jacobi,372,,
5355.789142,jacobi,373,,
4810.37729,jacobi,374,,
4564.32463,jacobi,375,,
5810.662145,jacobi,376,,
5294.692052,jacobi,377,,
5354.258746,jacobi,378,,
4546.566746,jacobi,379,,
4778.460878,jacobi,380,,
4208.501039,jacobi,381,,
3766.960648,jacobi,382,,
4962.144033,jacobi,383,,
5381.467697,jacobi,384,,
4957.551031,jacobi,385,,
6107.750482,jacobi,386,,
3363.93573,jacobi,387,,
4728.959925,jacobi,388,,
5424.013475,jacobi,389,,
4883.1916,jacobi,390,,
4908.857138,jacobi,391,,
3810.02283,jacobi,392,,
4573.157287,jacobi,393,,
5345.531074,jacobi,394,,
2874.872681,jacobi,395,,
5093.619986,jacobi,396,,
4779.134033,jacobi,397,,
4671.19595,jacobi,398,,
4066.310331,jacobi,399,,
4480.986639,jacobi,400,,
4357.789979,jacobi,401,,
3799.059083,jacobi,402,,
3920.240119,jacobi,403,,
4661.051287,jacobi,404,,
3768.313893,jacobi,405,,
4964.96597,jacobi,406,,
4036.068954,jacobi,407,,
4453.737873,jacobi,408,,
4763.526106,jacobi,409,,
4929.363061,jacobi,410,,
3079.193234,jacobi,411,,
4921.444831,jacobi,412,,
4307.348578,jacobi,413,,
4112.942946,jacobi,414,,
4029.301231,jacobi,415,,
3233.59645,jacobi,416,,
4080.118993,jacobi,417,,
2278.356137,jacobi,418,,
4414.786061,jacobi,419,,
2355.092186,jacobi,420,,
2727.49745,jacobi,421,,
